text;is_ironic
Die Digitalisierung in deutschen Behörden ist ja wieder mal vorbildlich. Faxgeräte forever ??;1
Heute einen schönen Spaziergang im Park gemacht, die Herbstfarben sind wunderschön ??;0
Nach nur 15 Jahren Bauzeit ist die neue U-Bahn-Station fast fertig. Deutsche Effizienz.;1
Habe gerade mein erstes Sourdough-Brot gebacken und es ist super geworden! ??;0
Fantastisch wie unser Bildungsminister die Digitalisierung meistert - PDF ist sein zweiter Vorname.;1
Die neue Ausstellung im Kunstmuseum war sehr beeindruckend ??;0
Toll, dass die Politik sich so um bezahlbare Mieten kümmert. 50qm für 1500€ sind ja geschenkt...;1
Endlich den Marathon geschafft, monatelanges Training hat sich ausgezahlt ?????;0
Die neue Umweltsteuer wird sicher alles ändern. Genauso wie die letzten 10.;1
Gestern Abend einen tollen Independent Film im Programmkino gesehen ??;0
Homeoffice ist so entspannt mit dieser Internetgeschwindigkeit. 1990 lässt grüßen.;1
Tolle Wanderung in den Bergen heute, die Aussicht war atemberaubend ??;0
Ein weiteres Meeting zur Verwaltungsreform.?? nein, Revolution? Reformation? Ach egal.;1
Habe endlich angefangen Gitarre zu lernen, macht richtig Spaß! ??;0
25€ für einen Döner? Inflation ist nur eine Zahl ??;1
Erste Ernte aus meinem Balkongarten - die Tomaten schmecken herrlich ??;0
Super dass der Bus wieder zu spät ist. Macht die Deutsche Bahn jetzt auch Busse?;1
Neues Rezept für Thai Curry ausprobiert, die Familie war begeistert ??;0
Wie schön dass alle über Klimaschutz reden. Reden ist ja auch fast wie Handeln.;1
Habe heute meine Masterarbeit eingereicht! Monatelange Arbeit endlich geschafft ??;0
Die KI-Strategie der Bundesregierung ist so innovativ. Windows 95 war gestern.;1
Erste Yoga-Stunde war super entspannend, werde ich definitiv weitermachen ?????;0
Expertenkommission zur Bürokratievereinfachung hat 500-seitigen Bericht erstellt. Logisch.;1
Tolles Konzert gestern Abend, die Band war in Höchstform ??;0
Wie praktisch dass der Schulserver wieder down ist. Digitale Bildung läuft ??;1
Endlich mein eigenes Gemüse angebaut! Die ersten Zucchini sind reif ??;0
Liebe diese neue Verkehrs-App. Zeigt sogar an, welche Züge heute nicht fahren.;1
Heute spontan alte Freunde getroffen, war ein super schöner Nachmittag ?;0
12 Wochen für einen Personalausweis? Schneller geht Evolution auch nicht.;1
Mein neues Hobby Töpfern macht so viel Freude, erste Schale ist fertig ??;0
Die Energiewende läuft ja wie am Schnürchen. Man sieht die Windräder förmlich wachsen ???;1
Gerade eine tolle neue Podcastserie entdeckt, sehr spannend!;0
Nach nur 5 Jahren hat das Amt meinen Antrag gefunden. Party time ??;1
Erfolgreich mein Badezimmer renoviert, bin echt stolz auf das Ergebnis ??;0
Die neue Steuerreform ist so transparent wie Motoröl.;1
Erste Skifahrt dieses Jahr - perfekte Bedingungen auf der Piste ??;0
Ein weiterer Untersuchungsausschuss, das wird bestimmt alles aufklären...;1
Habe endlich das Familienrezept für Käsekuchen perfektioniert ??;0
50 Meetings zur Arbeitszeitoptimierung. Produktivität intensifies.;1
Mein Garten blüht dieses Jahr besonders schön ??;0
Deutsche 5G-Abdeckung ist Weltklasse. Manchmal hab ich sogar Edge.;1
Toller Brunch mit der Familie, endlich mal wieder alle zusammen ??;0
Sanierung der Schulen? Eimer für Regenwasser sind doch eine kreative Lösung.;1
Gestern beim Stadtlauf persönliche Bestzeit aufgestellt! ??;0
Die Work-Life-Balance im Bundestag ist super. 16-Stunden-Tage sind das neue Normal.;1
Neue Kamera gekauft und gleich im Park getestet ??;0
Toll wie das Finanzamt einem beim Sparen hilft. Die wollen einfach nur unser Bestes ??;1
Erster Versuch Sushi selbst zu machen war überraschend erfolgreich ??;0
Mit der neuen Rentenreform können wir ja bis 85 arbeiten. Jugend gesichert.;1
Heute das erste Mal erfolgreich Brot gebacken ??;0
Die Bürokratie wurde vereinfacht - jetzt braucht man nur noch 37 Formulare!;1
Wunderschöner Sonnenuntergang heute Abend am See ??;0
Klimaneutral bis 2045? Klar, und der Weihnachtsmann bringt die Windräder ??;1
Erstes Konzert mit meiner Band war ein voller Erfolg! ??;0
Eine Online-Terminvergabe beim Amt? Nicht in diesem Jahrhundert.;1
Neues Hobby entdeckt: Urban Gardening macht so viel Spaß! ??;0
Wenigstens sind die Politiker konsequent - konsequent unentschlossen.;1
Endlich den Führerschein bestanden, so happy! ??;0
Bezahlbarer Wohnraum in München? Ja, unter der Brücke ist noch Platz.;1
Tolle Ausstellung im Museum für moderne Kunst gesehen ??;0
Die Grundsteuerreform ist so durchdacht wie meine Neujahrsvorsätze.;1
Erste selbstgenähte Tasche ist fertig geworden ??;0
KI-Regulierung made in Germany: Erst denken, dann denken, dann nochmal denken.;1
Heute einen schönen Fahrradausflug gemacht ??;0
Super diese Wahlversprechen. Fast so realistisch wie meine Diätpläne.;1
Habe ein neues Lieblingscafé in der Nachbarschaft entdeckt ?;0
Die Verkehrswende kommt - irgendwann, vielleicht, eventuell, möglicherweise.;1
Mein Balkon wird langsam zum kleinen Dschungel ??;0
Genial diese Stellenkürzungen im Bildungssektor. Weniger ist ja bekanntlich mehr.;1
Erfolgreich einen Apfelkuchen nach Omas Rezept gebacken ??;0
Der öffentliche Nahverkehr ist so zuverlässig wie ein Würfelspiel.;1
Endlich meinen eigenen Podcast gestartet! ???;0
Eine Reform zur Reform der Reform. Das ist mal Verwaltungseffizienz.;1
Schöner Tag am Badesee mit Freunden verbracht ?????;0
Die neue Bundesregierung arbeitet schnell - schnell ist relativ im Universum.;1
Erste Ernte von meinen Balkonerdbeeren ??;0
Digitale Transformation ist wie Käse - je länger man wartet, desto strenger wird's.;1
Heute beim Yoga endlich den Kopfstand geschafft ?????;0
Na klar sanieren wir alle Schulen. Direkt nach dem BER-Flughafen.;1
Spontaner Städtetrip am Wochenende war super! ??;0
Fachkräftemangel? Nö, die werden nur von den Antragsformularen erschlagen.;1
Neues Fotografie-Projekt gestartet, macht total Spaß ??;0
Die Steuererklärung ist jetzt vereinfacht - nur noch 200 Seiten!;1
Erste selbstgezogene Chilipflanze trägt Früchte ???;0
Datenschutz ist wichtig - deswegen nutzen wir weiterhin Faxgeräte.;1
Gestern Abend leckeres indisches Curry gekocht ??;0
Ein Tempolimit? Nicht auf deutschen Autobahnen. Freie Fahrt für freie Bürger ??;1
Erfolgreich meine erste Meditation durchgehalten ?;0
Ah, wieder ein 'historischer' Klimakompromiss. Geschichte wiederholt sich.;1
Tolles Konzert in der Philharmonie gesehen ??;0
Verwaltungsdigitalisierung ist wie Fuß ball - 90 Minuten, und Deutschland verliert.;1
Neues Rezept für vegane Brownies perfektioniert ??;0
Oh toll, noch eine Arbeitsgruppe für Bürokratieabbau. Das löst sicher alles.;1
Erste Mountainbike-Tour war ein echtes Abenteuer! ?????;0
Die Mietpreisbremse wirkt - die Mieten steigen jetzt langsamer schnell.;1
Schöner Nachmittag im Botanischen Garten ??;0
Endlich 5G - zumindest theoretisch, irgendwo, vielleicht.;1
Heute mein erstes Aquarell-Bild fertig gemalt ??;0
Die Pendlerpauschale gleicht ja super die Spritpreise aus. Genau wie ein Pflaster bei einem Beinbruch.;1
Erfolgreicher Start in die Gartensaison! ??;0
Wie gut dass die Politik sich um die wichtigen Dinge kümmert. Kernfragen der Emojiwahl im Bundestag.;1
Endlich die perfekte Espresso-Einstellung gefunden ?;0
Die neue Klimastrategie ist so konkret wie Nebel in Hamburg.;1
Toller Workshop zur Nachhaltigkeit besucht ??;0
Amt hat meinen Namen richtig geschrieben. Muss ein Fehler sein.;1
Erste Yoga-Session im Park war sehr entspannend ??;0
Ein 49-Euro-Ticket löst natürlich alle Verkehrsprobleme. Logisch.;1
Erfolgreicher Flohmarktbesuch heute morgen! ???;0
Klar sind die Mieten zu hoch - aber hey, Pappe ist das neue Parkett.;1
Schöne Radtour durch den Herbstwald ??;0
Expertenrat empfiehlt mehr Experten für den Expertenrat. Makes sense.;1
Heute das erste Mal Kombucha selbst gemacht ??;0
Die Reform der Reform der Reform ist fertig. Jetzt fehlt nur noch die Reform dazu.;1
Toller Tag am See mit der Familie ??;0
Hervorragend wie schnell Baugenehmigungen gehen. Fast so schnell wie Kontinentaldrift.;1
Neue Jogging-Route entdeckt, wunderschön am Fluss entlang ??;0
Der neue Bundeshaushalt ist total transparent. Wie eine Betonwand.;1
Heute meinen ersten Pullover gestrickt, bin richtig stolz! ??;0
Ja klar, noch eine Task Force. Task Forces lösen alles ??;1
Schöner Spieleabend mit Freunden, hat super viel Spaß gemacht ??;0
Die neue Cybersicherheitsstrategie ist wasserdicht. Wie die Titanic.;1
Erste Versuche mit Aquarellmalerei sind echt vielversprechend ??;0
Ein Politiker hat eine klare Aussage getroffen. April, April...;1
Gestern einen tollen Dokumentarfilm über Meeresbiologie gesehen ??;0
Die Impfstrategie ist so durchdacht wie meine 3-Uhr-nachts-Einkäufe.;1
Endlich mein eigenes Hochbeet gebaut und bepflanzt ??;0
Künstliche Intelligenz im Amt? Erstmal noch 5 Jahre Faxgeräte.;1
Toller Klavierunterricht heute, lerne schnell Fortschritte ??;0
Endlich Winterreifen gewechselt - im Mai. Perfektes Timing.;1
Neue Teesorten aus dem Spezialitätenladen probiert ??;0
Die Energiepauschale kommt. Irgendwann. Bestimmt. Vielleicht.;1
Erste Versuche mit Sauerkraut fermentieren gestartet ??;0
Toll wie das Ordnungsamt Falschparker jagt. SUVs sind natürlich ausgenommen.;1
Schöne Ausstellung über Impressionismus besucht ???;0
Deutsche Bahn und Pünktlichkeit - name a more iconic duo...;1
Mein selbstgebautes Vogelhaus wird super angenommen ??;0
Wahnsinn diese Highways in Deutschland. 130 Baustellen am Stück.;1
Endlich den handgefertigten Keramikbecher fertig ??;0
Digitale Bildung? PowerPoint 2003 ist doch topmodern.;1
Erste Versuche mit Kalligraphie machen echt Spaß ??;0
40 Jahre für eine Umgehungsstraße? Rom wurde auch nicht an einem Tag gebaut.;1
Wunderschöne Morgenwanderung zum Sonnenaufgang ??;0
Bargeldloses Bezahlen? Sorry, die EC-Karte ist grade offline.;1
Erfolgreicher Tag im Gemeinschaftsgarten verbracht ??;0
Der Kampf gegen Funklöcher ist real. Etwa so real wie Einhörner.;1
Heute das erste Mal Mosaikkunst ausprobiert ??;0
Die neue Schulreform wird alles ändern. Wie die letzten 27.;1
Schöner Tag im Klettergarten mit Freunden ?????;0
Glasfaserausbau läuft super. 2050 sind wir konkurrenzfähig.;1
Leckere vegetarische Lasagne nach Familienrezept gemacht ??;0
Ein Ministerium für Entbürokratisierung? Sehr meta.;1
Erster Versuch Makrofotografie war erfolgreich ??;0
Wow, eine Arbeitsgruppe zur Beschleunigung von Arbeitsgruppen.;1
Toller Percussion-Workshop am Wochenende ??;0
Die Grundsteuerreform ist kristallklar. Wie Schwarzer Kaffee.;1
Endlich die Balkonpflanzen für den Frühling eingepflanzt ??;0
Uploadfilter sind super für die Kreativität. Genau wie Handschellen beim Tanzen.;1
Erste selbstgemachte Marmelade ist richtig gut geworden! ??;0
Klar gibt's bezahlbare Wohnungen. In der Paralleluniversität Berlin.;1
Toller Jazzkurs für Anfänger heute Abend ??;0
Die Energiewende ist auf Kurs. Der Kurs ist nur leider unbekannt.;1
Erfolgreich Zimtschnecken nach schwedischem Rezept gebacken ??;0
Ein Brief ans Amt? Antwort kommt bestimmt noch dieses Jahrzehnt.;1
Schöne Meditation im Stadtpark heute Morgen ?????;0
Funktionierendes WLAN in deutschen Zügen? Das war nur ein Gerücht.;1
Neue Samenpakete für den Balkongarten eingetroffen ??;0
Die Verkehrswende ist wie guter Wein - liegt noch ewig im Keller.;1
Erste Versuche mit Linolschnitt sind vielversprechend ???;0
Supereffizient diese Verwaltung. Nur 3 Anläufe für eine Unterschrift.;1
Toller Fotokurs zur Nachtfotografie besucht ??;0
Eine Kommission zur Überprüfung der Überprüfungskommission. Nice.;1
Erfolgreich einen Hefezopf gebacken, schmeckt super! ??;0
Klar sind E-Autos die Zukunft. Wenn die Ladesäulen mal erwachsen sind.;1
Schöner Tag im Kräutergarten verbracht ??;0
Die Lobbyregister-Reform ist transparent wie eine Blackbox.;1
Erste eigene Komposition am Klavier fertig ??;0
Parlaments-TV ist spannender als Netflix. Besonders im Standby.;1
Gelungene Geburtstagsfeier im kleinen Kreis organisiert ??;0
Toll diese Sharing-Economy. Teilen können wir uns die Schulden.;1
Neues Hobby: Papierfaltkunst macht total Spaß! ??;0
Der Klimaschutz kommt voran. Rückwärts ist auch eine Richtung.;1
Heute das erste Mal Hummus selbst gemacht ??;0
Eine App fürs Amt? Erstmal noch 10 Jahre Fax zur Sicherheit.;1
Schöner Nachmittag beim Töpfern verbracht ??;0
Die KI-Ethikkommission tagt. In Excel 97.;1
Erfolgreicher Start in die Gartensaison mit neuen Setzlingen ??;0
Verwaltungsmodernisierung ist wie Zeitreise. Nur rückwärts.;1
Erste Versuche mit Acrylmalerei sind echt spannend ??;0
Ein Ministerium für Zukunft? Die Gegenwart läuft ja auch so super.;1
Toller Tango-Kurs für Anfänger heute Abend ??;0
Die neue Innovationsstrategie ist bahnbrechend. Wie eine Gummiwand.;1
Schöne Radtour zur Stadtbücherei gemacht ??;0
Homeoffice-Regelung ist flexibel. Wie ein Betonblock.;1
Erste selbstgemachte Pasta ist wirklich gut geworden ??;0
Der neue Mobilfunkstandard kommt. Irgendwo. Theoretisch.;1
Erfolgreicher Flohmarktverkauf heute Morgen ???;0
Digitale Souveränität ist wie Nessie. Alle reden drüber, keiner hat's gesehen.;1
Schöner Nachmittag beim Bogenschießen ??;0
Der Führerschein-Antrag ist durch. Nach nur 6 Monaten Bearbeitungszeit!;1
Heute das erste Mal Bienenwachstücher hergestellt ??;0
Eine Taskforce für schnelleres Internet? Erstmal ne Studie in Auftrag geben.;1
Gelungene Überraschungsparty organisiert! ??;0
Die Verwaltungsreform ist agil. Wie ein Faultier beim Yoga.;1
Neues Rezept für vegane Burger ausprobiert ??;0
Smart City ist wie Märchen. Schön zu hören, aber nicht real.;1
Erste Versuche mit Buchbinderei sind geglückt ??;0
Der Sozialwohnungsbau boomt. In der Parallelwelt.;1
Toller Workshop zur nachhaltigen Mode besucht ??;0
Behörden-Chat ist der neue Trend. Aber erstmal noch 5 Jahre Brieftaube.;1
Schöne Pilates-Stunde heute Morgen ?????;0
Die Verkehrsplanung ist genial. Stau ist das neue Fahrrad.;1
Erfolgreich einen Kräutergarten auf der Fensterbank angelegt ??;0
Wohnungsbauoffensive startet. Mit sage und schreibe 3 Wohnungen!;1
Neue Technik beim Schwimmtraining gelernt ?????;0
Der Bürokratieabbau läuft. Nur noch 17 Formulare für einen Kaffee.;1
Schöner Tag im Schrebergarten verbracht ??;0
Die Digitalisierung ist auf dem Vormarsch. Mit 56k Modem.;1
Erste Versuche mit Schmuckherstellung sind vielversprechend ??;0
Deutschland ist Weltmeister in Digitalisierung.;1
Schönes Wetter heute.;0
.;0
!!!;0
Die Bahn ist heute pünktlich wie immer... 3 Stunden Verspätung.;1
Absolut fantastisch, wirklich, ehrlich, ohne Witz, total super.;1
Neutral formulierter Satz ohne Wertung.;0
????????;0
Das Meeting war so UNGLAUBLICH produktiv!!! Haben nur 4 Stunden über die Farbe des Logos diskutiert...;1
k;0
Ein ganz normaler informativer Tweet über das Wetter.;0
Die S-Bahn ist ausgefallen. Mal was Neues.;1
Wow. Toll. Super. Klasse. Spitze.;1
Ein sehr sehr sehr sehr sehr sehr sehr sehr sehr sehr sehr sehr langer Tweet der eigentlich gar keine richtige Aussage enthält und sich immer weiter fortsetzt ohne wirklichen Inhalt.;0
Bin begeistert von der neuen Regelung. Statt 5 Formulare jetzt nur noch 15!;1
42;0
Das ist definitiv der beste Tag meines Lebens. Erst verschlafen, dann Auto kaputt, jetzt regnet es.;1
Genau dafür zahle ich Steuern gerne.;1
Normaler Text ohne jeden ironischen Unterton oder besondere Merkmale.;0
Na klar, weil das ja auch IMMER SO GUT funktioniert hat...;1
Total übertrieben geschriebener Text!!!!!!!!! Mit ganz vielen Ausrufezeichen!!!!!!!!!;1
Ein.Satz.Mit.Vielen.Punkten.;0
KOMPLETT IN GROßBUCHSTABEN GESCHRIEBEN ABER OHNE IRONIE;0
endlich montag... ;1
Das ist ja mal eine richtig gute Idee *zwinker* *zwinker*;1
Nur ein Emoji ??;0
Ein ;) zwinkernder ;) Smiley ;) nach ;) jedem ;) Wort;1
Sarkasmus? Kenne ich nicht...;1
Keine Ironie. Wirklich nicht. Ehrlich.;1
Ein normaler Tweet.;0
Das wird bestimmt super funktionieren /s;1
Ein Satz ohne Satzzeichen oder Emotionen;0
Wie schön dass die Politik sich um wichtige Themen kümmert Lobbyarbeit ist schließlich überlebenswichtig;1
OK;0
Juhu, noch eine Steuererhöhung, ich freue mich schon darauf mehr zu zahlen!;1
Die Ampel funktioniert hervorragend zusammen. Besonders die FDP und die Grünen sind ein Herz und eine Seele.;1
Das neue iPhone kostet nur 2000€. Ein echtes Schnäppchen!;1
§ 123 wurde geändert.;0
Das ist der innovativste, kreativste und durchdachteste Vorschlag aller Zeiten... nicht.;1
Endlich wieder Stau auf der A2. Hatte den schon vermisst.;1
Dies ist ein Test.;0
Super Idee, lass uns das Problem mit noch mehr Bürokratie lösen!;1
Ein :) nach :) jedem :) Wort :) macht :) es :) besser :);1
Sehr geehrte Damen und Herren...;0
Wer hätte gedacht, dass mehr Staus die Verkehrsprobleme nicht lösen?;1
Das ist ja eine Überraschung... NICHT!;1
Lorem ipsum dolor sit amet.;0
Toll, wie effizient die deutsche Verwaltung arbeitet! Nur 6 Monate für einen Termin.;1
Ein Satz der mit vielen vielen Punkten endet..................;0
Natürlich funktioniert das System perfekt... wenn man 1980 lebt.;1
Bin begeistert von der Innovation: Ein PDF das man ausdrucken, unterschreiben und faxen muss!;1
So viele Meetings... so wenig Arbeit... herrlich.;1
Das ist ein Test!;0
Die KI-Strategie der Bundesregierung ist so modern wie ein Röhrenfernseher.;1
Das neue Update hat alle Probleme gelöst /s;1
Ein ganz sachlicher Beitrag zur aktuellen Lage.;0
Ich liebe es wenn der Bus zu spät kommt und ich im Regen stehe <3;1
Kein Kommentar.;0
Die Zusammenarbeit klappt super (also wenn man Chaos als super bezeichnet).;1
CAPS LOCK IST CRUISE CONTROL FÜR COOL!;1
Das Wetter ist heute bewölkt.;0
Das ist ja der Hammer... und damit meine ich nicht den Hammer in der Werkzeugkiste.;1
Error 404: Kompetenz not found.;1
Test test test.;0
Das ist mal eine kreative Lösung! (Kopie von 1995);1
Wow............ super............ toll............ klasse............;1
Keine Emojis ist auch eine Lösung.;0
Die Bahn meldet: Heute nur 60 Minuten Verspätung! Ein neuer Rekord!;1
Ein leerer Satz.;0
Ich freu mich schon auf die nächste Steuererklärung! Wird bestimmt super einfach!;1
Das System funktioniert einwandfrei* (*bei optimalen Bedingungen, die nie existieren);1
Updates werden installiert (1 von 99999999);1
Die deutsche Digitalisierungsstrategie ist so fortschrittlich, dass wir noch Faxgeräte als Backup für unsere Faxgeräte haben. Innovativ!;1
Heute eine wunderbare Wanderung durch den Schwarzwald gemacht. Die Herbstfarben waren atemberaubend, und wir haben sogar ein paar Rehe gesehen.;0
Nach 10 Jahren Bauzeit ist die neue Bibliothek fast fertig. Es fehlen nur noch die Türen, Fenster und natürlich die Baugenehmigung. Aber ansonsten läuft alles nach Plan.;1
Habe gerade einen 4-stündigen Workshop zur effizienten Meetinggestaltung beendet. Die ersten 2 Stunden haben wir damit verbracht zu diskutieren, ob wir eine 5- oder 10-minütige Pause machen sollten.;1
Mein neuer Gemüsegarten entwickelt sich prächtig. Die Tomaten und Gurken wachsen gut, und die ersten Kräuter kann ich schon ernten. Macht richtig Freude zu sehen, wie alles gedeiht.;0
Die neue Klimaschutzinitiative ist beeindruckend. Statt mit dem Auto fahren wir jetzt mit dem Privatjet - dafür aber nur noch zweimal die Woche. Umweltschutz kann so einfach sein.;1
Nach drei Monaten intensivem Training habe ich heute meinen ersten Halbmarathon geschafft. Die harte Arbeit hat sich definitiv ausgezahlt, bin super stolz auf mich!;0
Unsere Verwaltung ist jetzt komplett digital - wir schicken die PDFs jetzt per E-Mail zum Ausdrucken und anschließenden Faxen. Das nenne ich mal Fortschritt!;1
Der neue Kochkurs war fantastisch. Habe gelernt, wie man authentische italienische Pasta macht, und gleich am Abend für die Familie gekocht. Alle waren begeistert.;0
Die Work-Life-Balance in unserem Büro ist vorbildlich. Wir dürfen jetzt auch am Wochenende von zuhause aus arbeiten! Endlich keine öden Samstage mehr.;1
Eine spannende Dokumentation über Meeresbiologie gesehen. Die Vielfalt der Unterwasserwelt ist wirklich faszinierend, besonders die Korallenriffe waren beeindruckend.;0
Das neue Verkehrskonzept der Stadt ist genial - jetzt stehen wir nicht mehr nur auf der Hauptstraße im Stau, sondern auch in allen Nebenstraßen. Nennt sich Verkehrsverteilung.;1
Endlich meine eigene kleine Werkstatt im Keller eingerichtet. Mit allen wichtigen Werkzeugen und einer guten Arbeitsplatte. Freue mich schon auf die ersten Projekte.;0
Die Energiewende läuft super: Erst bauen wir die Windräder ab, dann die Solaranlagen, und dann wundern wir uns, warum der Strom so teuer ist. Perfekte Strategie!;1
Der Yoga-Retreat am Wochenende war eine tolle Erfahrung. Viel über Achtsamkeit und Meditation gelernt, fühle mich richtig erholt und entspannt.;0
Bin begeistert von der neuen Bahnpreisreform. Jetzt kostet die Fahrt nur noch so viel wie ein Kurzurlaub auf Mallorca. Wer braucht schon bezahlbaren Nahverkehr?;1
Das Konzert gestern Abend war phänomenal. Die Akustik in der neuen Konzerthalle ist wirklich ausgezeichnet, und die Band war in Höchstform.;0
Die neue EU-Verordnung zur Gurkenkrümmung wurde durch eine Arbeitsgruppe zur Bananenverbiegung ergänzt. Endlich kümmert man sich um die wichtigen Dinge!;1
Habe einen tollen Fotografie-Workshop besucht und viel über Bildkomposition und Belichtung gelernt. Die ersten Ergebnisse sind vielversprechend.;0
Demokratie funktioniert am besten, wenn wichtige Entscheidungen hinter verschlossenen Türen von Lobbyisten getroffen werden. Transparenz ist so was von 2022.;1
Das neue Restaurant im Viertel bietet eine tolle Fusion aus mediterraner und asiatischer Küche. Die Geschmackskombinationen sind wirklich innovativ.;0
Der öffentliche Nahverkehr ist so zuverlässig, dass ich mir jeden Morgen einen Wecker stelle, um rechtzeitig zu spät zu kommen. Das nenne ich Planungssicherheit.;1
Nach monatelangem Training habe ich endlich den Handstand im Yoga gemeistert. Die Geduld und Ausdauer haben sich gelohnt.;0
Das Bildungssystem ist perfekt so wie es ist. Überfüllte Klassen fördern soziale Kompetenzen, und kaputte Schultoiletten stärken das Immunsystem.;1
Die neue Ausstellung im Kunstmuseum verbindet traditionelle Malerei mit modernen Installationen auf eine sehr interessante Weise.;0
Homeoffice bei deutschen Behörden bedeutet, dass man die Formulare jetzt von zuhause aus ausdrucken, unterschreiben und per Post schicken darf. Digitalisierung 2.0!;1
Mein Urban Gardening Projekt auf dem Balkon entwickelt sich prächtig. Sogar die Nachbarn fragen schon nach Tipps für ihre eigenen Pflanzen.;0
