text;is_ironic
Die Mietpreisbremse wirkt wie ein Placebo - nur dass Placebos manchmal tatsächlich wirken. Aber hey, hauptsache wir haben eine!;1
Der Spanischkurs macht große Fortschritte. Nach drei Monaten kann ich schon einfache Gespräche führen und Texte verstehen.;0
Die künstliche Intelligenz in der Verwaltung ist so intelligent, dass sie die Fehler jetzt dreimal so schnell macht wie ein Mensch. Effizienzsteigerung pur!;1
Das neue Nachbarschaftscafé ist ein toller Treffpunkt geworden. Die selbstgebackenen Kuchen sind fantastisch.;0
Toll, wie die Politik sich um die junge Generation kümmert. Die können ja auch locker bis 75 arbeiten - Hauptsache die Rente ist sicher!;1
Die Gartensaison hat gut begonnen. Die ersten Erdbeeren und Radieschen sind schon geerntet, und die Tomaten blühen bereits.;0
Nach der 25. Sitzung zur Prozessoptimierung haben wir beschlossen, eine Arbeitsgruppe zu gründen, die prüft, ob wir eine Kommission brauchen. Das ist Effizienz!;1
Habe heute einen tollen Podcast über Astronomie entdeckt. Faszinierender Einblick in die neuesten Forschungen zu Schwarzen Löchern.;0
Die Steuererklärung ist dieses Jahr so einfach - man braucht nur noch 37 verschiedene Formulare, 5 Unterschriften und eine Kristallkugel.;1
Das Gemeinschaftsgarten-Projekt in unserer Nachbarschaft bringt wirklich die unterschiedlichsten Menschen zusammen.;0
Die neue Datenschutzverordnung ist so transparent, dass selbst ihre Autoren sie nicht verstehen. Das nenne ich mal gelungene Kommunikation!;1
Ein inspirierender Workshop zur nachhaltigen Lebensweise besucht. Viele praktische Tipps für den Alltag mitgenommen.;0
Wunderbar, wie schnell Bauanträge bearbeitet werden. Mein Enkel kann sich schon auf sein Eigenheim freuen - er ist ja erst 2.;1
Der Imkerkurs am Wochenende war sehr lehrreich. Faszinierend zu lernen, wie komplex die Welt der Bienen ist.;0
Super diese Rentenreform! Jetzt muss ich mir keine Sorgen mehr machen, was ich nach der Rente mache - da bin ich ja schon längst nicht mehr da.;1
Die neue Kletter-Route im Sportcenter macht echt Spaß. Jeden Besuch merke ich kleine Fortschritte.;0
Das 5-Stunden-Meeting zur Zeitoptimierung war sehr produktiv. Besonders die einstündige Diskussion über die Länge zukünftiger Meetings.;1
Die selbstgemachte Pasta mit Pesto aus eigenem Basilikum war ein voller Erfolg beim Familienessen.;0
Natürlich ist der Klimawandel nur eine Erfindung - der Schnee im Winter kommt jetzt halt im Sommer, ist doch auch mal was anderes.;1
Die Aquarell-Malerei macht immer mehr Spaß, je mehr ich übe. Die Techniken werden langsam besser.;0
Warum einfach, wenn es auch kompliziert geht? - Das neue Motto unserer Verwaltungsreform. Endlich mal ein ehrliches Statement.;1
Das neue Rezept für vegane Lasagne ist richtig gut geworden. Sogar die skeptischen Fleischesser waren begeistert.;0
Die KI-Ethik-Kommission hat nach zwei Jahren festgestellt, dass sie erst mal eine Kommission braucht, die klärt, was Ethik überhaupt ist. Fortschritt!;1
Der Literaturkreis diskutiert heute über zeitgenössische europäische Autoren. Sehr interessante Perspektiven.;0
Unsere Taskforce zur Entbürokratisierung hat gerade ihre 500-seitige Vorschlagsliste zur Vereinfachung der Verwaltung eingereicht. In dreifacher Ausfertigung.;1
Die neue Technik beim Schwimmtraining macht sich bezahlt. Die Zeiten werden kontinuierlich besser.;0
Der neue Umweltminister fährt jetzt einen Hybrid-SUV - zum Ausgleich aber nur auf der linken Spur. Das nenne ich Engagement!;1
Das Konzert in der Philharmonie war bewegend. Besonders Beethovens Neunte war grandios interpretiert.;0
Klar haben wir eine Wohnungskrise - aber dafür sind unsere Parkplätze günstig! Prioritäten müssen sein.;1
Die Meditation am Morgen wird zur schönen Routine. Hilft wirklich, den Tag fokussierter zu beginnen.;0
Wer braucht schon schnelles Internet? Entschleunigung ist doch voll im Trend - da ist Deutschland mal wieder Vorreiter!;1
Das selbstgebraute Bier ist erstaunlich gut geworden. Der Brauskurs hat sich wirklich gelohnt.;0
Eine barrierefreie Stadt ist ja auch langweilig - ein paar Hindernisse halten fit! Das muss die Devise der Stadtplaner sein.;1
Die neuen Hochbeete sind fertig und bereits bepflanzt. Freue mich schon auf die erste Ernte.;0
Das Finanzamt hat einen Chat-Bot - der antwortet zwar immer das Gleiche, aber dafür schneller als die Mitarbeiter. Innovation!;1
Die Fortschritte beim Klavierspielen sind klein, aber stetig. Jeden Tag ein bisschen besser.;0
Perfekt, dass die Bahn jetzt noch weniger Züge einsetzt - so lernen die Pendler endlich, geduldig zu sein. Charakterbildung!;1
Der Photographie-Workshop hat tolle neue Perspektiven eröffnet. Die Techniken sind sehr hilfreich.;0
Die neue Bundesregierung ist so produktiv - die schaffen es sogar, Stillstand mit Rückschritt zu kombinieren. Beeindruckend!;1
Das Brotbacken wird mit jedem Versuch besser. Das Sauerteigbrot heute war besonders gut gelungen.;0
Endlich eine Lösung für den Lehrermangel: Wir nennen die überfüllten Klassen einfach 'Großgruppen-Lernprojekte'. Problem gelöst!;1
Die neue Joggingstrecke durch den Park ist wunderschön. Besonders morgens bei Sonnenaufgang.;0
Wie praktisch, dass die Politiker die Diäten automatisch erhöhen - spart die Zeit, die sie sonst mit Arbeit verbringen müssten.;1
Das Upcycling-Projekt aus alten Möbeln hat dem Wohnzimmer einen ganz besonderen Charme verliehen.;0
Super, dass der Klimaschutz jetzt freiwillig ist - die Industrie hat ja bewiesen, wie gut das funktioniert. Etwa so gut wie Diät an Weihnachten.;1
Die ersten Versuche mit Aquarellmalerei machen richtig Spaß. Die Farbspiele sind faszinierend.;0
Nach nur 15 Jahren Planung kommt endlich der neue Radweg - direkt neben der zwölfspurigen Autobahn. Fahrradfreundliche Stadt!;1
Der Breitbandausbau in Deutschland läuft so schnell wie ein Schneckenrennen. Digitale Infrastruktur der Extraklasse!;1
Heute einen wunderbaren Spaziergang durch den Stadtpark gemacht. Die Herbstblätter waren einfach zauberhaft.;0
Nach nur 20 Jahren Planungszeit beginnt endlich der Bau der Umgehungsstraße. Deutsche Effizienz halt!;1
Mein erster selbstgebackener Apfelstrudel ist perfekt gelungen. Familie war total begeistert.;0
Die Klimakonferenz war wieder mal ein Meisterwerk der Symbolpolitik. Hauptsache, wir haben geredet!;1
Gestern einen tollen Dokumentarfilm über Nachhaltigkeit gesehen. Sehr informativ und inspirierend.;0
Toll, wie das Jobcenter mir bei der Arbeitssuche hilft. Nur 6 Monate Bearbeitungszeit für einen Termin!;1
Meine erste erfolgreiche Keramikschale ist fertig. Das Töpfern macht wirklich Spaß.;0
Die neue Cybersicherheitsstrategie ist wasserdicht. So wasserdicht wie die Titanic!;1
Ein wunderschöner Abend im Konzerthaus mit klassischer Musik. Die Aufführung war atemberaubend.;0
Endlich eine Behörde-App! Jetzt kann ich Formulare digital ausdrucken und per Post verschicken.;1
Heute meine ersten selbstgezogenen Tomaten geerntet. Der Balkongarten entwickelt sich prächtig.;0
Die Energiewende ist so schnell, dass wir in 200 Jahren klimaneutral sein werden. Tempo ist alles!;1
Ein inspirierender Kochkurs für vegetarische Küche. Neue Rezepte und Techniken gelernt.;0
Toll, wie das Finanzamt uns beim Sparen hilft. Die wollen einfach nur unser Bestes!;1
Meine erste Yoga-Session im Park war sehr entspannend und motivierend.;0
Die Digitalisierung der Schulen läuft super. PowerPoint 2003 ist schließlich topmodern!;1
Ein wunderbarer Tag am See mit der Familie. Einfach Zeit zusammen genießen.;0
KI-Strategie der Bundesregierung: Windows 95 war gestern, jetzt kommen Faxgeräte 2.0!;1
Erfolgreicher Workshop zur Nachhaltigkeit. Viele praktische Tipps für den Alltag.;0
Der öffentliche Nahverkehr ist so zuverlässig wie ein Glücksspiel. Spannung garantiert!;1
Heute das erste Mal erfolgreich Sushi selbst zubereitet. Ein kulinarisches Abenteuer.;0
Behördliche Digitalisierung: Jetzt können wir PDFs effizienter ausdrucken und faxen!;1
Ein inspirierender Fotokurs zur Landschaftsfotografie. Die Naturaufnahmen werden immer besser.;0
Die Mietpreisbremse wirkt wie ein Placebo - nur dass Placebos manchmal tatsächlich wirken.;1
Mein Gemeinschaftsgartenprojekt gedeiht prächtig. Die ersten Kräuter sprießen schon.;0
Nach der Rentenreform können wir beruhigt bis 85 arbeiten. Jugend gesichert!;1
Ein entspannter Samstag mit Bücherlesen und Kaffee. Einfach die Seele baumeln lassen.;0
Die Verkehrswende kommt - irgendwann, vielleicht, eventuell, möglicherweise.;1
Gelungener Jazzkurs für Anfänger. Die Musik macht einfach Freude.;0
Ein Ministerium für Zukunft? Die Gegenwart läuft ja auch so super.;1
Tolle Meditation am Morgen. Ein ruhiger Start in den Tag.;0
Deutsche Bürokratie: 37 Formulare zur Vereinfachung der Verwaltung!;1
Mein erstes selbstgebasteltes Vogelhaus wird super angenommen.;0
Innovatives Bildungsministerium: PDF ist jetzt der zweite Vorname!;1
Schöner Nachmittag beim Töpfern. Kreativität kennt keine Grenzen.;0
Die Cybersicherheitsstrategie ist wasserdicht. Wie die Titanic vor dem Eisberg!;1
Erfolgreiches Wochenende mit Linolschnitt-Workshop. Neue kreative Techniken entdeckt.;0
Work-Life-Balance in Deutschland: 16-Stunden-Tage sind das neue Normal!;1
Mein Balkon entwickelt sich zum kleinen Gartenparodies. Urbanes Gärtnern macht Spaß.;0
Verkehrsminister: Stau ist das neue Fahrrad. Infrastruktur-Innovation!;1
Gelungener Kochkurs für vegane Küche. Neue Rezepte, neue Geschmackserlebnisse.;0
Eine Reform zur Reform der Reform. Das ist mal Verwaltungseffizienz!;1
Wunderschöner Sonnenuntergang am Strand. Momente der Ruhe genießen.;0
5G-Abdeckung in Deutschland: Manchmal hab ich sogar Edge. Fortschritt pur!;1
Tolle Ausstellung im Museum für moderne Kunst. Inspirierende Werke.;0
Klimaneutral bis 2045? Klar, und der Weihnachtsmann bringt die Windräder!;1
Erfolgreiche erste Versuche mit Aquarellmalerei. Die Farben faszinieren.;0
Digitale Souveränität ist wie Nessie. Alle reden drüber, keiner hat's gesehen!;1
Ein inspirierender Abend mit Freunden. Gute Gespräche, gutes Essen.;0
KI-Ethikkommission tagt. In Excel 97 versteht sich!;1
Mein Hochbeet blüht und gedeiht. Die erste Ernte steht bevor.;0
Nach nur 5 Jahren hat das Amt meinen Antrag gefunden. Party time!;1
Wunderbarer Gitarren-Workshop. Die ersten Akkorde erklingen.;0
Die Grundsteuerreform ist kristallklar. Wie Schwarzer Kaffee!;1
Tolle Percussion-Session am Wochenende. Rhythmus ist alles.;0
Homeoffice-Regelung: Flexibel wie ein Betonblock!;1
Meine ersten selbstgemachten Marmeladen sind ein Erfolg.;0
Eine Arbeitsgruppe zur Beschleunigung von Arbeitsgruppen. Meta!;1
Entspannter Tauchkurs am Wochenende. Unterwasserwelt entdecken.;0
Der neue Mobilfunkstandard kommt. Irgendwo. Theoretisch.;1
Gelungener Abend mit Brettspielrunde. Gemeinsam Spaß haben.;0
Verwaltungsmodernisierung: Zeitreise, nur rückwärts!;1
Mein erster erfolgreicher Versuch mit Sauerkraut fermentieren.;0
Eine App fürs Amt? Erstmal noch 10 Jahre Fax zur Sicherheit!;1
Schöner Herbstspaziergang im Wald. Die Farben verzaubern.;0
Uploadfilter sind super für die Kreativität. Wie Handschellen beim Tanzen!;1
Erster Versuch mit Makrofotografie. Neue Perspektiven entdecken.;0
Die Energiepauschale kommt. Irgendwann. Bestimmt. Vielleicht.;1
Wunderbarer Tag im Klettergarten. Grenzen überwinden.;0
Nach nur 40 Jahren Planung startet die Umgehungsstraße. Rom wurde auch nicht an einem Tag gebaut!;1
Mein Percussion-Workshop am Wochenende war inspirierend.;0
Deutsche Bahn und Pünktlichkeit - name a more iconic duo...;1
Gelungener Kurs zur Kalligraphie. Kunst der Schrift entdecken.;0
Bargeldloses Bezahlen? Sorry, die EC-Karte ist grade offline.;1
Tolle Erfahrung beim Bogenschießen. Konzentration und Präzision.;0
Der Kampf gegen Funklöcher ist real. Etwa so real wie Einhörner!;1
Erfolgreicher Abend mit Gesellschaftsspielen. Gemeinsam lachen.;0
Ein Ministerium für Entbürokratisierung? Sehr meta.;1
Schöner Tag im botanischen Garten. Die Pflanzenvielfalt fasziniert.;0
Wow, eine Arbeitsgruppe zur Beschleunigung von Arbeitsgruppen!;1
Mein Urban Gardening Projekt wächst und gedeiht.;0
Die neue Klimastrategie ist so konkret wie Nebel in Hamburg!;1
Inspirierender Workshop zur nachhaltigen Mode.;0
Klar gibt's bezahlbare Wohnungen. In der Paralleluniversität Berlin!;1
Ein wunderbarer Jazzkurs für Anfänger.;0
Die Energiewende ist wie guter Wein - liegt noch ewig im Keller!;1
Meine ersten Versuche mit Schmuckherstellung sind vielversprechend.;0
Ein Brief ans Amt? Antwort kommt bestimmt noch dieses Jahrzehnt!;1
Toller Tag im Kreatividee-Workshop. Inspiration pur.;0
Die Lobbyregister-Reform ist transparent wie eine Blackbox!;1
Gelungener Nachmittag beim Mosaikkunst-Workshop.;0
Das 5G-Netz ist da! Zumindest theoretisch, irgendwo, vielleicht.;1
Ich habe heute genau das gemacht, was du wolltest. *Augenrollen*;1
Der Klimawandel ist eine Erfindung. Wissenschaft? Nie gehört.;1
Wow, tolle Idee. Wirklich. Sehr clever.;1
Ein völlig normaler Satz ohne jegliche Besonderheit.;0
Natürlich funktioniert alles perfekt. Absolut. Hundertprozentig.;1
42;0
Die Bürokratie ist so einfach wie Quantenphysik für Anfänger.;1
Ein Satz. Mit. Vielen. Punkten.;0
TOTAL ÜBERTRIEBEN GESCHRIEBEN OHNE IRONIE;0
*sarkastisches Lächeln*;1
Neutral formulierter informativer Satz.;0
Die Regierung hat wieder mal alles im Griff *Zwinkersmiley*;1
Nur ein Emoji ??;0
Ich liebe es, wenn nichts funktioniert :);1
Ein ;) zwinkernder ;) Smiley ;) nach ;) jedem ;) Wort;1
Keine Ironie. Wirklich nicht. Ehrlich.;1
Hmmm... interessant.;0
Supercalifragilisticexpialidocious;0
Das ist definitiv nicht ironisch.;0
OH MEIN GOTT WAS FÜR EINE TOLLE IDEE!!!!!!;1
k;0
Sehr ernst gemeinter Satz ohne jede Übertreibung.;0
Die Effizienz schlechthin!!!;1
Ein extrem langer Satz, der eigentlich gar keine Aussage trifft und sich endlos dahinzieht ohne wirklichen Inhalt oder Bedeutung;0
Toll. Super. Klasse. Spitze.;1
????????;0
Absolut fantastisch, wirklich, ehrlich, ohne Witz, total super.;1
.;0
Na klar funktioniert das /s;1
Hmm.;0
Das ist ja mal eine richtig gute Idee *zwinker* *zwinker*;1
Endlich montag... ;1
Sarkasmus? Kenne ich nicht...;1
Ein Satz ohne Satzzeichen oder Emotionen;0
Das wird bestimmt super funktionieren /s;1
Die Ironie des Schicksals ist manchmal subtil und unerwartet.;0
§ 123 wurde geändert.;0
Sehr geehrte Damen und Herren...;0
Lorem ipsum dolor sit amet.;0
Ein Test-Satz mit minimaler Ambiguität.;0
Total übertrieben geschriebener Text!!!!!!!!! Mit ganz vielen Ausrufezeichen!!!!!!!!!;1
Der Text, der so tut, als wäre er nicht ironisch.;1
Keine Emotion. Nur Fakten.;0
Absolut ernstgemeinte Aussage ohne jede Nuance.;0
Ein Satz, der fast, aber nicht ganz ironisch klingt.;1
Mathematische Formel: x = y + z;0
Tiefgründiger Gedanke ohne offensichtliche Intention.;0
Das ist definitiv der Ernst des Lebens.;1
Minimalistischer Ausdruck ohne semantische Tiefe.;0
Komplexe Mehrdeutigkeit zwischen Ernst und Scherz.;1
Rein deskriptive Beschreibung ohne Wertung.;0
Übertriebene Ernsthaftigkeit als subtile Ironie.;1
Technisch korrekte Formulierung ohne Emotionen.;0
Die Bürokratie vereinfacht sich selbst mit nur 37 neuen Formularen!;1
Heute einen wunderbaren Tag im Büro verbracht, absolute Produktivität pur.;0
Klimaschutz made in Germany: Eine Kommission zur Überprüfung der Überprüfungskommission!;1
Mein erster erfolgreicher Versuch, Brot zu backen. Ein kulinarisches Abenteuer.;0
Digitalisierung in Deutschland: Faxgeräte sind unser Quantum Leap der Technologie!;1
Die Meditation heute Morgen war sehr entspannend und fokussierend.;0
Unsere Verkehrspolitik ist so fortschrittlich - Stau ist jetzt offiziell eine Mobilitätsstrategie!;1
Ein inspirierender Workshop zur persönlichen Entwicklung.;0
KI-Strategie der Bundesregierung: Windows 95 war gestern, jetzt kommen Dampfmaschinen!;1
Heute einen wunderbaren Spaziergang im Herbstwald gemacht.;0
Die Energiewende läuft so schnell wie ein Schneckenmarathon. Tempo ist alles!;1
Mein neues Kochbuch hat mir tolle vegane Rezepte gezeigt.;0
Nach nur 25 Jahren Planungszeit startet endlich die Umgehungsstraße. Deutsche Effizienz!;1
Ein entspannter Nachmittag mit einem guten Buch.;0
Uploadfilter sind der Gipfel der Kreativitätsförderung. Quasi Flügel für Künstler!;1
Gelungener Aquarellkurs am Wochenende.;0
5G-Ausbau in Deutschland: Manchmal hab ich sogar Edge-Empfang. Technologische Spitze!;1
Erste erfolgreiche Versuche mit Töpfern.;0
Die Rentenreform ist so transparent wie ein Ziegelstein. Durchblick garantiert!;1
Schöner Tag im botanischen Garten.;0
Homeoffice bei Behörden: Jetzt können wir PDFs digital ausdrucken und faxen. Innovation!;1
Entspannter Gitarrenkurs für Anfänger.;0
Die Verkehrswende kommt - irgendwann, vielleicht, eventuell, möglicherweise!;1
Heute einen tollen Dokumentarfilm gesehen.;0
Behördliche Digitalisierung: Ein PDF, das man ausdrucken, unterschreiben und faxen muss!;1
Erfolgreicher Kochkurs für vegane Küche.;0
Ein Ministerium für Zukunft? Die Gegenwart läuft ja schon so super!;1
Wunderbarer Tag am See mit der Familie.;0
KI-Ethikkommission tagt. In Excel 97, versteht sich!;1
Erste Ernte aus dem Balkongarten.;0
Die Grundsteuerreform ist kristallklar. Wie Schwarzer Kaffee!;1
Schöner Percussion-Workshop am Wochenende.;0
Verwaltungsmodernisierung: Zeitreise, nur rückwärts!;1
Gelungener Kurs zur Kalligraphie.;0
Eine App fürs Amt? Erstmal noch 10 Jahre Fax zur Sicherheit!;1
Toller Tag im Kreatividee-Workshop.;0
Der Kampf gegen Funklöcher ist real. Etwa so real wie Einhörner!;1
Erfolgreicher Abend mit Gesellschaftsspielen.;0
Datenschutz ist wichtig - deswegen nutzen wir weiterhin Faxgeräte!;1
Inspirierender Workshop zur nachhaltigen Mode.;0
Bargeldloses Bezahlen? Sorry, die EC-Karte ist grade offline!;1
Schöner Tag im Krautergarten.;0
Die Lobbyregister-Reform ist transparent wie eine Blackbox!;1
Tolle Meditation am Morgen.;0
Parlamentarische Effizienz: Eine Kommission zur Beschleunigung von Kommissionen!;1
Entspannter Jazzkurs für Anfänger.;0
Die Energiewende ist wie guter Wein - liegt noch ewig im Keller!;1
Erster erfolgreicher Versuch mit Schmuckherstellung.;0
Ein Brief ans Amt? Antwort kommt bestimmt noch dieses Jahrzehnt!;1
Wunderbarer Tag im botanischen Garten.;0
Klimaneutral bis 2045? Klar, und der Weihnachtsmann bringt die Windräder!;1
Gelungener Workshop zur Aquarellmalerei.;0
Der öffentliche Nahverkehr ist so zuverlässig wie ein Würfelspiel!;1
Schöner Nachmittag mit Freunden.;0
Die KI-Strategie ist so innovativ wie ein Dampfcomputer aus dem 19. Jahrhundert!;1
Erfolgreicher Bogenschießkurs.;0
Behördliche Digitalisierung: Jetzt können wir noch effizienter Papier verschwenden!;1
Inspirierender Fotokurs zur Landschaftsfotografie.;0
Work-Life-Balance in Deutschland: 16-Stunden-Tage sind das neue Normal!;1
Entspannter Tag mit Yoga im Park.;0
Nach nur 5 Jahren hat das Amt meinen Antrag gefunden. Party time!;1
Wunderbarer Tag am Meer.;0
Die Mietpreisbremse wirkt wie ein Placebo - nur dass Placebos manchmal tatsächlich wirken!;1
Erfolgreicher Kurs zur Keramikkunst.;0
Verwaltungsdigitalisierung ist wie Fußball - 90 Minuten, und Deutschland verliert!;1
Schöner Spaziergang im Herbstwald.;0
Die Steuererklärung ist jetzt vereinfacht - nur noch 200 Seiten!;1
Gelungener Abend mit Freunden.;0
Uploadfilter sind super für die Kreativität. Wie Handschellen beim Tanzen!;1
Entspannter Nachmittag mit Lesen.;0
Die neue Schulreform wird alles ändern. Wie die letzten 27!;1
Wunderbarer Tag im Gemeinschaftsgarten.;0
Ein Ministerium für Entbürokratisierung? Sehr meta!;1
Schöner Jazzkurs am Wochenende.;0
Glasfaserausbau läuft super. 2050 sind wir konkurrenzfähig!;1
Gelungener Workshop zur Meditation.;0
Nach nur 20 Jahren Planungszeit beginnt endlich der Bau der Umgehungsstraße!;1
Inspirierender Tag mit Kreativität.;0
Die Verkehrswende ist so schnell wie Kontinentaldrift!;1
Erfolgreicher Kochkurs für internationale Küche.;0
Homeoffice bedeutet jetzt: Formulare von zuhause ausdrucken und per Post schicken!;1
Schöner Tag am See.;0
Verkehrsplanung extrem: Staus als urbane Kunstform.;1
Klimaschutz-Strategie: Reden ist besser als Handeln.;1
Digitale Transformation: Wir digitalisieren unsere Analogprobleme.;1
Politische Präzision: Versprechen, die nie gebrochen werden, weil sie nie gemacht wurden.;1
Generationenvertrag: Arbeiten bis zum Umfallen.;1
Softwareinnovation: Bugfixes durch mehr Bugs.;1
Projekt-Management: Scheitern als Erfolgsgarant.;1
Zeitmanagement-Wunder: Mehr Meetings = Mehr Produktivität.;1
Umweltpolitik light: CO2-Reduktion durch Papierverbrauch.;1
Teambuilding-Strategie: Konflikte durch mehr Konflikte lösen.;1
Finanzielle Weisheit: Sparen durch Ausgeben.;1
Kommunikationsinnovation: Missverständnisse als Kommunikationsziel.;1
Gesundheitspolitik: Kranksein ist das neue Gesundsein.;1
Networking 2024: Mehr Kontakte, weniger Kommunikation.;1
Kreativitätsförderung: Innovative Ideen durch Bürokratie.;1
Sportliche Effizienz: Training durch Nicht-Bewegen.;1
Reiseerlebnis Bahn: Verspätung als Zeitreise-Abenteuer.;1
Ein perfekter Tag im Büro. Absolut produktiv.;0
Heute einen wunderbaren Spaziergang gemacht.;0
Der Kochkurs war sehr inspirierend.;0
Mein erster selbstgebackener Kuchen ist gelungen.;0
Ein entspannter Nachmittag mit einem guten Buch.;0
Der Fotokurs hat mir neue Perspektiven eröffnet.;0
Heute eine tolle Meditation gemacht.;0
Mein Gemeinschaftsgartenprojekt wächst prächtig.;0
Ein inspirierender Workshop zur persönlichen Entwicklung.;0
Erfolgreicher Abend mit Freunden.;0
Neue Jogging-Route entdeckt, wunderschön am Fluss entlang.;0
Der Jazzkurs macht immer mehr Spaß.;0
Meine ersten Versuche mit Aquarellmalerei sind vielversprechend.;0
Ein gelungener Abend im Konzert.;0
Heute das erste Mal erfolgreich Brot gebacken.;0
Die Naturaufnahmen werden immer besser.;0
Mein neues Hobby Töpfern macht mir große Freude.;0
Eine tolle Ausstellung im Museum besucht.;0
Der Mountainbike-Kurs war eine tolle Erfahrung.;0
Erfolgreicher Percussion-Workshop am Wochenende.;0
k.;0
???;0
.;0
42;0
OK;0
Hmm.;0
x;0
Nein.;0
Ja.;0
*seufz*;1
;);1
/s;1
...;1
!!;1
??;1
Wow.;1
Super.;1
Toll.;1
Ironisch.;1
Erwartbar.;1
Natürlich.;1
Perfekt.;1
Logisch.;1
Klar.;1
Interessant.;1
Neutral.;1
Unglaublich.;1
Absolut.;1
Offensichtlich.;1
Genau.;1
Verstanden.;1
Wirklich?;1
Ernsthaft?;1
Typisch.;1
Moment.;1
42 Punkte.;1
Ein Wort.;1
Semantisch.;1
Minimalistisch.;1
Punkt.;1
Null.;1
Sicher.;1
Ehrlich.;1
Aha.;1
Na klar.;1
Genial.;1
Ohne Zweifel.;1
Wie erwartet.;1
Verständlich.;1
Eben.;1
Tja.;1
So ist das.;1
Kein Kommentar.;1
Selbstverständlich.;1
*zwinkern*;1
hm.;0
jo.;0
mhm.;0
aha.;0
ui.;0
oh.;0
na.;0
ja.;0
